lyrics,emotion
hari ini aku gembira melangkah di udara,bahagia
pak pos membawa berita dari yang kudamba,bahagia
sepucuk surat yang wangi warnanya pun merah hati,bahagia
bagai bingkisan pertama tidak sabar kubuka,bahagia
satu dua dan tiga aku mulai membaca,bahagia
surat cintaku yang pertama membikin hatiku berlomba,bahagia
seperti melodi yang indah kata kata cintanya,bahagia
surat cintaku yang pertama membikin hatiku berlomba,bahagia
seperti melodi yang indah kata kata cintanya padaku,bahagia
hari ini aku gembira melangkah di udara,bahagia
pak pos membawa berita dari yang kudamba,bahagia
ucapan semanis madu tiga lembar rayuannya,bahagia
rasanya tidak puas hati kuulangi lagi,bahagia
satu dua dan tiga aku mulai membaca,bahagia
surat cintaku yang pertama membikin hatiku berlomba,bahagia
seperti melodi yang indah kata kata cintanya,bahagia
surat cintaku yang pertama membikin hatiku berlomba,bahagia
seperti melodi yang indah kata kata cintanya padaku,bahagia
ucapan semanis madu tiga lembar rayuannya,bahagia
rasanya tidak puas hati kuulangi lagi,bahagia
satu dua dan tiga kumulai membaca,bahagia
surat cintaku yang pertama membikin hatiku berlomba,bahagia
seperti melodi yang indah kata kata cintanya,bahagia
surat cintaku yang pertama membikin hatiku berlomba,bahagia
seperti melodi yang indah kata kata cintanya padaku,bahagia
surat cintaku yang pertama membikin hatiku berlomba,bahagia
seperti melodi yang indah kata kata cintanya,bahagia
surat cintaku yang pertama membikin hatiku berlomba,bahagia
seperti melodi yang indah kata kata cintanya,bahagia
surat cintaku yang pertama membikin hatiku berlomba,bahagia
seperti melodi yang indah kata kata cintanya padaku,bahagia
surat cintaku yang pertama membikin hatiku berlomba,bahagia
seperti melodi yang indah kata kata cintanya,bahagia
surat cintaku yang pertama membikin hatiku berlomba,bahagia
seperti melodi yang indah kata kata cintanya padaku,bahagia
