lyrics,emotion,lirik_clean
hari ini aku gembira melangkah di udara,bahagia,hari aku gembira lang udara
pak pos membawa berita dari yang kudamba,bahagia,pak pos bawa berita yang damba
sepucuk surat yang wangi warnanya pun merah hati,bahagia,pucuk surat wangi warna merah hati
bagai bingkisan pertama tidak sabar kubuka,bahagia,bagai bingkis pertama sabar buka
satu dua dan tiga aku mulai membaca,bahagia,satu dan tiga aku mulai baca
surat cintaku yang pertama membikin hatiku berlomba,bahagia,surat cinta pertama bikin hati lomba
seperti melodi yang indah kata kata cintanya,bahagia,melodi indah kata kata cinta
surat cintaku yang pertama membikin hatiku berlomba,bahagia,surat cinta pertama bikin hati lomba
seperti melodi yang indah kata kata cintanya padaku,bahagia,melodi indah kata kata cinta pada
hari ini aku gembira melangkah di udara,bahagia,hari aku gembira lang udara
pak pos membawa berita dari yang kudamba,bahagia,pak pos bawa berita yang damba
ucapan semanis madu tiga lembar rayuannya,bahagia,ucap seman madu tiga lembar rayu
rasanya tidak puas hati kuulangi lagi,bahagia,rasa puas hati ulang
satu dua dan tiga aku mulai membaca,bahagia,satu dan tiga aku mulai baca
surat cintaku yang pertama membikin hatiku berlomba,bahagia,surat cinta pertama bikin hati lomba
seperti melodi yang indah kata kata cintanya,bahagia,melodi indah kata kata cinta
surat cintaku yang pertama membikin hatiku berlomba,bahagia,surat cinta pertama bikin hati lomba
seperti melodi yang indah kata kata cintanya padaku,bahagia,melodi indah kata kata cinta pada
ucapan semanis madu tiga lembar rayuannya,bahagia,ucap seman madu tiga lembar rayu
rasanya tidak puas hati kuulangi lagi,bahagia,rasa puas hati ulang
satu dua dan tiga kumulai membaca,bahagia,satu dan tiga mula baca
surat cintaku yang pertama membikin hatiku berlomba,bahagia,surat cinta pertama bikin hati lomba
seperti melodi yang indah kata kata cintanya,bahagia,melodi indah kata kata cinta
surat cintaku yang pertama membikin hatiku berlomba,bahagia,surat cinta pertama bikin hati lomba
seperti melodi yang indah kata kata cintanya padaku,bahagia,melodi indah kata kata cinta pada
surat cintaku yang pertama membikin hatiku berlomba,bahagia,surat cinta pertama bikin hati lomba
seperti melodi yang indah kata kata cintanya,bahagia,melodi indah kata kata cinta
surat cintaku yang pertama membikin hatiku berlomba,bahagia,surat cinta pertama bikin hati lomba
seperti melodi yang indah kata kata cintanya,bahagia,melodi indah kata kata cinta
surat cintaku yang pertama membikin hatiku berlomba,bahagia,surat cinta pertama bikin hati lomba
seperti melodi yang indah kata kata cintanya padaku,bahagia,melodi indah kata kata cinta pada
surat cintaku yang pertama membikin hatiku berlomba,bahagia,surat cinta pertama bikin hati lomba
seperti melodi yang indah kata kata cintanya,bahagia,melodi indah kata kata cinta
surat cintaku yang pertama membikin hatiku berlomba,bahagia,surat cinta pertama bikin hati lomba
seperti melodi yang indah kata kata cintanya padaku,bahagia,melodi indah kata kata cinta pada
hari ini aku gembira melangkah di udara. pak pos membawa berita dari yang kudamba. sepucuk surat yang wangi warnanya pun merah hati. bagai bingkisan pertama tidak sabar kubuka. satu dua dan tiga aku mulai membaca. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya padaku. hari ini aku gembira melangkah di udara. pak pos membawa berita dari yang kudamba. ucapan semanis madu tiga lembar rayuannya. rasanya tidak puas hati kuulangi lagi. satu dua dan tiga aku mulai membaca. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya padaku. ucapan semanis madu tiga lembar rayuannya. rasanya tidak puas hati kuulangi lagi. satu dua dan tiga kumulai membaca. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya padaku. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya padaku surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya padaku,bahagia,hari aku gembira lang udara pak pos bawa berita damba pucuk surat wangi warna merah hati bagai bingkis pertama sabar buka satu dan tiga aku mulai baca surat cinta pertama bikin hati lomba melodi indah kata kata cinta surat cinta pertama bikin hati lomba melodi indah kata kata cinta pada hari aku gembira lang udara pak pos bawa berita damba ucap seman madu tiga lembar rayu rasa puas hati ulang satu dan tiga aku mulai baca surat cinta pertama bikin hati lomba melodi indah kata kata cinta surat cinta pertama bikin hati lomba melodi indah kata kata cinta pada ucap seman madu tiga lembar rayu rasa puas hati ulang satu dan tiga mula baca surat cinta pertama bikin hati lomba melodi indah kata kata cinta surat cinta pertama bikin hati lomba melodi indah kata kata cinta pada surat cinta pertama bikin hati lomba melodi indah kata kata cinta surat cinta pertama bikin hati lomba melodi indah kata kata cinta surat cinta pertama bikin hati lomba melodi indah kata kata cinta pada surat cinta pertama bikin hati lomba melodi indah kata kata cinta surat cinta yang pertama bikin hati lomba melodi yang indah kata kata cinta pada
ketika mimpimu yang begitu indah,bahagia,mimpi begitu indah
tidak pernah terwujud ya sudahlah,bahagia,pernah wujud sudah
saat kau berlari mengejar anganmu,bahagia,kau lari kejar angan
dan tidak pernah sampai ya sudahlah,bahagia,tidak pernah ya sudah
